Nom du cookie;Domaine;Chemin;Durée de Vie;HTTP Only;Sécurisé;SameSite;Catégorie
_ttp;.doctissimo.fr;Persistent;Tierce Partie;False;False;2024-12-08 16:38:49;Suivi/Publicité
_hjSession_3078202;.doctissimo.fr;Persistent;Tierce Partie;False;True;2023-11-14 17:08:49;Suivi/Publicité
_hjIncludedInSessionSample_3078202;.doctissimo.fr;Persistent;Tierce Partie;False;True;2023-11-14 17:08:49;Suivi/Publicité
_hjAbsoluteSessionInProgress;.doctissimo.fr;Persistent;Tierce Partie;False;True;2023-11-14 17:08:49;Suivi/Publicité
_hjFirstSeen;.doctissimo.fr;Persistent;Tierce Partie;False;True;2023-11-14 17:08:49;Suivi/Publicité
pbjs-id5id;www.doctissimo.fr;Persistent;Première-Partie;False;False;2024-02-12 16:38:50;Persistant
beopid;.www.doctissimo.fr;Persistent;Tierce Partie;False;False;2024-11-13 16:38:49;Suivi/Publicité
TAPAD;www.doctissimo.fr;Session;Première-Partie;False;False;Session;Fonctionnel
_pbjs_userid_consent_data;www.doctissimo.fr;Persistent;Première-Partie;False;False;2023-12-14 16:38:49;Persistant
__gads;.doctissimo.fr;Persistent;Tierce Partie;False;False;2024-12-08 16:38:50;Suivi/Publicité
didomi_token;.doctissimo.fr;Persistent;Tierce Partie;False;False;2024-05-15 16:38:49;Suivi/Publicité
_fbp;.doctissimo.fr;Persistent;Tierce Partie;False;False;2024-02-12 16:38:49;Suivi/Publicité
permutive-id;.doctissimo.fr;Persistent;Tierce Partie;False;True;2024-12-14 16:38:49;Suivi/Publicité
_ga_SZF7Z81G3Q;.doctissimo.fr;Session;Tierce Partie;False;False;Session;Suivi/Publicité
_tt_enable_cookie;.doctissimo.fr;Persistent;Tierce Partie;False;False;2024-12-08 16:38:49;Suivi/Publicité
_hjSessionUser_3078202;.doctissimo.fr;Persistent;Tierce Partie;False;True;2024-11-13 16:38:49;Suivi/Publicité
SA;www.doctissimo.fr;Persistent;Première-Partie;False;False;2023-11-15 16:38:50;Persistant
euconsent-v2;.doctissimo.fr;Persistent;Tierce Partie;False;False;2024-05-15 16:38:49;Suivi/Publicité
_ga;.doctissimo.fr;Persistent;Tierce Partie;False;False;2024-02-12 16:38:49;Suivi/Publicité
Wysistat;www.doctissimo.fr;Persistent;Première-Partie;False;False;2024-12-13 16:38:47;Persistant
didomi_token;.doctolib.fr;Persistent;Tierce Partie;False;False;2024-05-15 16:42:05;Suivi/Publicité
_cfuvid;.doctolib.fr;Session;Tierce Partie;True;True;Session;Suivi/Publicité
_doctolib_session;www.doctolib.fr;Session;Première-Partie;True;True;Session;Fonctionnel
euconsent-v2;.doctolib.fr;Persistent;Tierce Partie;False;False;2024-05-15 16:42:05;Suivi/Publicité
__cf_bm;.doctolib.fr;Persistent;Tierce Partie;True;True;2023-11-14 17:12:03;Suivi/Publicité
acid_marketing_obk_spe_cvr;www.doctolib.fr;Persistent;Première-Partie;False;False;2023-11-14 17:12:05;Persistant
